UNDERLYING                          ,SYMBOL    ,20-Apr,20-May,20-Jun,20-Sep,20-Dec,21-Jun,21-Dec,22-Jun,22-Dec,23-Jun,23-Dec,24-Jun,24-Dec
NIFTY BANK                          ,BANKNIFTY ,20,20,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY 50                            ,NIFTY     ,75,75,75,75,75,75,75,75,75,75,75,75,75
NIFTY IT                            ,NIFTYIT   ,50,50,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
Derivatives on Individual Securities,Symbol    ,20-Apr,20-May,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI ENTERPRISES LIMITED           ,ADANIENT  ,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO TYRES LTD                    ,APOLLOTYRE,3000,3000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASIAN PAINTS LIMITED                ,ASIANPAINT,600,600,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AXIS BANK LIMITED                   ,AXISBANK  ,1200,1200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ FINANCE LIMITED               ,BAJFINANCE,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BALKRISHNA IND. LTD                 ,BALKRISIND,800,800,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AUROBINDO PHARMA LTD                ,AUROPHARMA,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANK OF BARODA                      ,BANKBARODA,5400,5400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARTI AIRTEL LIMITED               ,BHARTIARTL,1851,1851,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT ELECTRONICS LTD              ,BEL       ,6000,6000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT PETROLEUM CORP  LT           ,BPCL      ,1800,1800,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,200,200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CENTURY TEXTILES LTD                ,CENTURYTEX,600,600,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CANARA BANK                         ,CANBK     ,2600,2600,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CESC LTD                            ,CESC      ,800,800,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COAL INDIA LTD                      ,COALINDIA ,2700,2700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CIPLA LTD                           ,CIPLA     ,1150,1150,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COLGATE PALMOLIVE LTD.              ,COLPAL    ,700,700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CONTAINER CORP OF IND LTD           ,CONCOR    ,1563,1563,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DIVI'S LABORATORIES LTD             ,DIVISLAB  ,400,400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DLF LIMITED                         ,DLF       ,3300,3300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GLENMARK PHARMACEUTICALS            ,GLENMARK  ,1400,1400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DR. REDDY'S LABORATORIES            ,DRREDDY   ,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EQUITAS HOLDINGS LIMITED            ,EQUITAS   ,4900,4900,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GODREJ CONSUMER PRODUCTS            ,GODREJCP  ,800,800,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,2900,2900,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,3500,3500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
FEDERAL BANK LTD                    ,FEDERALBNK,7000,7000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN PETROLEUM CORP            ,HINDPETRO ,2100,2100,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HAVELLS INDIA LIMITED               ,HAVELLS   ,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HCL TECHNOLOGIES LTD                ,HCLTECH   ,1400,1400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC LTD                            ,HDFC      ,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI BANK LTD.                     ,ICICIBANK ,1375,1375,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,12000,12000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JSW STEEL LIMITED                   ,JSWSTEEL  ,2300,2300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INTERGLOBE AVIATION LTD             ,INDIGO    ,300,300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INFOSYS LIMITED                     ,INFY      ,1200,1200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN OIL CORP LTD                 ,IOC       ,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JINDAL STEEL & POWER LTD            ,JINDALSTEL,5000,5000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,400,400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LUPIN LIMITED                       ,LUPIN     ,700,700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARICO LIMITED                      ,MARICO    ,1300,1300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T FINANCE HOLDINGS LTD            ,L&TFH     ,5600,5600,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,1300,1300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LARSEN & TOUBRO LTD.                ,LT        ,375,375,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARUTI SUZUKI INDIA LTD.            ,MARUTI    ,100,100,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UNITED SPIRITS LIMITED              ,MCDOWELL-N,1250,1250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MOTHERSON SUMI SYSTEMS LT           ,MOTHERSUMI,5000,5000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MRF LTD                             ,MRF       ,10,10,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,11700,11700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NESTLE INDIA LIMITED                ,NESTLEIND ,50,50,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIIT TECHNOLOGIES LTD               ,NIITTECH  ,375,375,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NMDC LTD.                           ,NMDC      ,6000,6000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NTPC LTD                            ,NTPC      ,4800,4800,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PAGE INDUSTRIES LTD                 ,PAGEIND   ,25,25,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OIL INDIA LTD                       ,OIL       ,3399,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
POWER FIN CORP LTD.                 ,PFC       ,6200,6200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PUNJAB NATIONAL BANK                ,PNB       ,8300,8300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
